,id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,Longitude,Latitude
1848,834cd25f-cfcd-40fa-9c89-c13d7e15f5ff,4503,Boulevard Industriel,,J1L 2S9,1,INFO TWIN SHIRTS,581 459-6225,False,Commerce,Biens semi-courants,Mode,Magasins de tous les autres types de vêtements,458119.0,Commerce de détail,Détaillants de tous les autres types de vêtements,,Jacques-Cartier,False,2020-09-14,2024-06-25,-71.9760057,45.3959208
1849,36479802-b58c-453c-b1b7-55aadc4e4343,4515,Boulevard Industriel,,J1L 2S9,1,SINISCO,819 780-0973,False,Commerce de gros/para-industriel,Services d'affaires,Finance (assurances),Experts en sinistres,524291.0,Finance et assurances,Experts en sinistres,1140391740.0,Jacques-Cartier,False,2020-09-14,2024-06-25,-71.9760057,45.3959208
1850,e21fa584-33c4-49d0-830c-2aaf9a5f5d31,373,Rue Léger,,J1L 2G7,1,GROUPE ABS,819 416-1766,False,Commerce de gros/para-industriel,Services professionnels,"Architecture, génie et services connexes",Services de conseils en environnement,541620.0,"Services professionnels, scientifiques et techniques",Services de conseils en environnement,1165977969.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9738611,45.39847580000001
1851,8b4331a4-0e4c-4de2-89f6-a8380b4f4ec6,371,Rue Léger,,J1L 2G7,"1, 2",BAIN MAGIQUE SHERBROOKE,819 566-6599,False,Commerce de gros/para-industriel,Fabrication,Plastiques et composites,Fabrication d'appareils sanitaires en plastique,326191.0,Fabrication,Fabrication d'appareils sanitaires en plastique,1170262449.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9738611,45.39847580000001
1852,9742d345-e0a1-4920-ada0-f6d1babeae93,430,Rue Léger,,J1L 1Y5,1,LES ENTREPRISES GIVESCO INC.,819 347-1020,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands d'une gamme générale de fournitures de construction,416310.0,Commerce de gros,Grossistes-marchands d'une gamme générale de fournitures de construction,1148096960.0,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.973748,45.3996131
1853,4cbe4ff4-2614-46b3-b7d2-c105060dd087,4420,Boulevard Industriel,,J1L 2S8,1,COMPRESSEURS QUÉBEC,819 346-7721,False,Commerce de gros/para-industriel,Services d'affaires,Entretien,Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),811310.0,Autres services (sauf les administrations publiques),Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),1172482870.0,Jacques-Cartier,False,2020-09-14,2024-07-04,-71.97353939999999,45.3953046
1854,bdad2576-7c15-48e0-93bb-de6b35bbd960,315,Rue Léger,2,J1L 2G7,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.973027,45.3977372
1856,48900efb-2f1c-4385-9db4-8a8b08978ebb,309,Rue Léger,,J1L 2G7,"1,2",BAHLER  INC.,819 791-7500,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1144672681.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.97257160000001,45.397561
1857,06de8f68-7893-4cab-9df5-211e498b6cf9,297,Rue Léger,,J1L 2G7,1,RÉFRIGÉRATION LAPERLE,819 820-7102,False,Commerce de gros/para-industriel,Construction,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",238220.0,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",1148252605.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9719932,45.3970882
1858,bc3b64b4-bfc0-4e98-8185-8e0a4bd28c91,295,Rue Léger,,J1L 2G7,1,CLINIK IMPACT,819 578-5472,False,Commerce,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121.0,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1165964355.0,Jacques-Cartier,False,2022-09-15,2024-07-05,-71.9719932,45.3970882
1860,0ec34b98-3c9d-48fa-8f15-a33c22f7bb68,4305,Rue Hector-Brien,,J1L 0E2,1,CRÉMANIMO INC.,819 347-3434,False,Commerce,Services aux consommateurs,Services funéraires,Cimetières et crématoriums,812220.0,Autres services (sauf les administrations publiques),Cimetières et crématoriums,1170373584.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.9719896,45.4100809
1861,8596463b-3a7d-4c2e-b1ee-56b1b2edadd1,4300,Rue Hector-Brien,,J1L 0E2,1,GUAY INC.,819 569-2041,False,Commerce de gros/para-industriel,Services aux consommateurs,Location,Location et location à bail d'autres machines et matériel d'usage commercial et industriel,532490.0,Services immobiliers et services de location et de location à bail,Location et location à bail d'autres machines et matériel d'usage commercial et industriel,1143736263.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.972025,45.4090064
1862,30ee5334-bf31-4421-8013-0451ed3353e4,4240,Boulevard de Portland,,J1L 0A3,1,DISTRIBUTION KEBECHEM INC,819 348-0999,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de matériel et fournitures de plomberie, de chauffage et de climatisation",416120.0,Commerce de gros,"Grossistes-marchands de matériel et fournitures de plomberie, de chauffage et de climatisation",1161420204.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9716905,45.4018985
1864,f02d73c5-9b26-4f6f-9b61-113f63691daa,281,Rue Léger,,J1L 2G7,1,ACIER JBOSS,819 452-2677,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en montage de charpentes d'acier et mise en place de béton préfabriqué,238120.0,Construction,Entrepreneurs en montage de charpentes d'acier et mise en place de béton préfabriqué,1167982884.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9715439,45.396795
1865,8bda2498-86d1-4cf8-b920-41f348664073,290,Rue Léger,,J1L 1Y5,1,SOUCY TECHNO,819 864-4284,False,Commerce de gros/para-industriel,Fabrication,Plastiques et composites,Fabrication d'autres produits en caoutchouc,326290.0,Fabrication,Fabrication d'autres produits en caoutchouc,1143048669.0,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.9712969,45.3981469
1866,43eec074-ee32-4ab3-989b-0cefdac9e06f,4330,Boulevard Industriel,,J1L 2S8,1,AFFUTECH 3000 INC.,819 822-3373,False,Commerce de gros/para-industriel,Services d'affaires,Entretien,Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),811310.0,Autres services (sauf les administrations publiques),Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),1140682148.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9712448,45.3951618
1867,a6414c26-7372-49dc-9633-15e8d34b8f7e,4336,Boulevard Industriel,,J1L 2S8,1,LE RÉPARATEUR,819 821-4160,False,Commerce de gros/para-industriel,Services aux consommateurs,Réparation,Réparation et entretien d'appareils ménagers,811412.0,Autres services (sauf les administrations publiques),Réparation et entretien d'appareils ménagers,1142237453.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9712448,45.3951618
1868,e78128a6-b51f-480c-82c3-fc43026b3ab0,4334,Boulevard Industriel,,J1L 2S8,1,ATLANTIS POMPE,819 347-1941,False,Commerce de gros/para-industriel,Construction,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",238220.0,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",1142914531.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9712448,45.3951618
1869,3d8492c9-dc56-456e-98a7-ee719365fdf1,4320,Boulevard Industriel,,J1L 2S8,"1,2",MAG-BROOKE FOURNITURE INDUSTRIELLE INC.,819 823-2443,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",1142334532.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9712448,45.3951618
1870,41412456-6221-43a3-95f2-5503172f7c7e,4352,Boulevard Industriel,,J1L 2S8,1,AB EXPRESS SHERBROOKE,819 565-5061,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands d'autres pièces et d'accessoires neufs pour véhicules automobiles,415290.0,Commerce de gros,Grossistes-marchands d'autres pièces et d'accessoires neufs pour véhicules automobiles,1140456998.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9712448,45.3951618
1871,3316e9ac-bd00-4204-b967-bda2d68df0ec,4265,Rue Hector-Brien,4,J1L 0E2,1,REGESCO ENTREPRENEUR GÉNÉRAL,819 987-1733,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1169755965.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.9711228,45.4099695
1873,b6aaa65c-c7b3-4659-8c8a-84840b349305,4253,Rue de la Garlock,,J1L 2C8,1,BECOR INDUSTRIEL INC.,819 820-7477,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",1148136808.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9706458,45.4065363
1874,813e6bb0-2894-4031-8536-c45b12cbd842,4275,Rue de la Garlock,,J1L 2C8,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9706458,45.4065363
1875,98753d55-9491-424a-809e-2c5b30b6f7ea,4263,Rue de la Garlock,,J1L 2C8,1,SAVO,819 574-8322,False,Commerce de gros/para-industriel,Fabrication,Agroalimentaire,Fabrication de crème glacée et de desserts congelés,311520.0,Fabrication,Fabrication de crème glacée et de desserts congelés,1174367590.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9706458,45.4065363
1876,8f03e893-f917-4d32-acfe-71e12c4b9dc7,635,Rue Pépin,,J1L 2P8,1,AMERICAN BILTRITE,819 829-3300,False,Commerce de gros/para-industriel,Fabrication,Plastiques et composites,Fabrication d'autres produits en caoutchouc,326290.0,Fabrication,Fabrication d'autres produits en caoutchouc,1142903005.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.97035749999999,45.4084033
1877,85280200-106e-4c10-aaff-4278fbc94229,260,Rue Léger,,J1L 1Y5,1,CARMICHAEL,819 346-1141,False,Commerce de gros/para-industriel,Construction,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",238220.0,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",1146007969.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.969922,45.3965943
1880,47875909-d20c-409c-bf34-2b02519c1e70,250,Rue Léger,,J1L 1M1,1,LES CAMIONS INTER ESTRIE (1991) INC.,819 564-6677,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de camions, de tracteurs routiers et d'autobus",415120.0,Commerce de gros,"Grossistes-marchands de camions, de tracteurs routiers et d'autobus",1143933050.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.969599,45.3952086
1881,fc85169a-67f6-4a66-88f9-46b02aa7d21b,4237,Rue de la Garlock,,J1L 2C8,1,OBIBOX,,False,Commerce de gros/para-industriel,Transport,Livraison,Services locaux de messagers et de livraison,492210.0,Transport et entreposage,Services locaux de messagers et de livraison,1172299787.0,Jacques-Cartier,False,2022-11-15,2024-08-14,-71.9695972,45.4065975
1882,35a4073c-1f8f-44a4-b726-6f5af1dbac3e,4241,Rue de la Garlock,,J1L 2C8,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2022-11-15,2024-07-17,-71.9695972,45.4065975
1883,1b3dbee9-10c8-47b7-86ea-4a9888908834,4245,Rue de la Garlock,,J1L 2C8,1,GROUPE STE AUTOMATION,,False,Commerce de gros/para-industriel,Fabrication,Robotiques,"Fabrication d'appareillage de connexion, de commutation et de relais et de commandes d'usage industriel",335315.0,Fabrication,"Fabrication d'appareillage de connexion, de commutation et de relais et de commandes d'usage industriel",1160644689.0,Jacques-Cartier,False,2022-11-15,2024-08-14,-71.9695972,45.4065975
1884,36833f4c-6344-45fe-b846-50c458bc5c3c,535,Rue Pépin,,J1L 1X3,"1,2",T. G. C. INC.,819 566-8884,False,Commerce de gros/para-industriel,Construction,Construction,Construction d'aqueducs et d'égouts et structures connexes,237110.0,Construction,Construction d'aqueducs et d'égouts et structures connexes,1142408591.0,Jacques-Cartier,False,2020-09-14,2024-06-25,-71.9696292,45.4056716
1885,e9e0d728-a4e5-4d8a-bf7c-ab362cf4e15e,531,Rue Pépin,,J1L 1X3,1,VA DOMICILE,,False,Commerce de gros/para-industriel,Transport,Livraison,Services locaux de messagers et de livraison,492210.0,Transport et entreposage,Services locaux de messagers et de livraison,1175374132.0,Jacques-Cartier,False,2020-09-14,2024-06-25,-71.9696292,45.4056716
1886,532965f0-820d-4cbf-b4a7-974405259093,501,Rue Pépin,,J1L 1X3,1,PUROLATOR,1 888 744-7123,False,Commerce de gros/para-industriel,Transport,Livraison,Messageries,492110.0,Transport et entreposage,Messageries,1143994102.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.9694473,45.4049064
1887,68460056-fa13-4cf5-adcf-0f03396320ec,1255,Boulevard du Plateau-Saint-Joseph,,J1L 3E2,1,MICHAELS MAGASIN D'ARTISANAT,819 416-1708,False,Commerce,Biens semi-courants,Passe-temps,"Magasins d'articles de passe-temps, de jouets et de jeux",459120.0,Commerce de détail,"Détaillants d'articles de passe-temps, de jouets et de jeux",1167023598.0,Jacques-Cartier,True,2020-06-05,2024-08-12,-71.9692934,45.4197465
1888,e884f818-f6ad-4a33-8b09-af22bb57ee9a,4235,Boulevard Industriel,,J1L 2S7,1,MOTION CANADA,,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.9688374,45.39621520000001
1890,9ad37fea-2139-40e2-adfa-b5c3c869cbcc,1305,Boulevard du Plateau-Saint-Joseph,,J1L 3E2,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2022-05-16,2024-08-02,-71.9683295,45.419723
1891,97b3a16b-eb3b-4c6f-a61c-df5624e51cdb,520,Rue Pépin,,J1L 2Y8,"1,2",GROUPE SIGNALISATION DE L'ESTRIE,819 822-3828,False,Commerce de gros/para-industriel,Construction,Construction,Tous les autres entrepreneurs spécialisés,238990.0,Construction,Tous les autres entrepreneurs spécialisés,1176304450.0,Jacques-Cartier,False,2020-09-14,2024-08-13,-71.96812249999999,45.4056443
1892,8dc1fe1d-7067-4252-abc7-61fafde6c30b,4100,Boulevard de Portland,,J1L 2Y4,"1,2",LYRFAC INC.,819 566-5858,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",1142396531.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9677122,45.4021703
1893,b53f3648-3ebf-4ff3-be33-c5115cb285d5,1455,Boulevard du Plateau-Saint-Joseph,,J1L 3E2,1,MEUBLES LÉON,819 822-5366,False,Commerce,Biens réfléchis,Ameublement,Meubles de maison et appareils ménagers,449110.0,Commerce de détail,Détaillants de meubles,1142558148.0,Jacques-Cartier,True,2020-06-05,2024-08-12,-71.9675729,45.4221971
1894,bcc86231-bdf3-4296-b440-8fdca3335c79,1150,Boulevard du Plateau-Saint-Joseph,,J1L 0A5,1,MEUBLES BRICK,819 348-8800,False,Commerce,Biens réfléchis,Ameublement,Meubles de maison et appareils ménagers,449110.0,Commerce de détail,Détaillants de meubles,1162149604.0,Jacques-Cartier,True,2020-06-05,2024-08-12,-71.966624,45.418183000000006
1895,398db935-e0be-4d4b-8961-bf6a6b23b1c1,4135,Boulevard Industriel,,J1L 2S7,1,ÉLECTRO-5 INC.,819 823-5355,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de composants électroniques, et de matériel et fournitures de navigation et de communication",417320.0,Commerce de gros,"Grossistes-marchands de composants électroniques, et de matériel et fournitures de navigation et de communication",1174969429.0,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.9664054,45.3964288
1896,3a27bb24-0ede-4a37-bcf1-cd1d47ae20ca,4130,Boulevard Industriel,,J1L 2S6,1,PEPSICO CANADA,819 563-8544,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands d'autres gammes spécialisées d'aliments,413190.0,Commerce de gros,Grossistes-marchands d'autres gammes spécialisées d'aliments,1149270598.0,Jacques-Cartier,True,2020-09-14,2024-07-05,-71.9661994,45.39536649999999
1897,e4b29216-1207-4e71-9270-43eb5bdd15b1,4050,Boulevard de Portland,,J1L 2Y4,1,REVÊTEMENT EPD,819 821-6088,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de parements,238170.0,Construction,Entrepreneurs en travaux de parements,1166305533.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9659125,45.4022752
1898,b5df06fc-fcdb-403b-8e56-c0af12ca0334,4124,Boulevard Industriel,,J1L 2S6,1,DORSON LTÉE,819 346-1775,False,Commerce de gros/para-industriel,Services d'affaires,Entretien,Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),811310.0,Autres services (sauf les administrations publiques),Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),1175096701.0,Jacques-Cartier,False,2020-09-14,2024-06-25,-71.9657813,45.3955757
1899,f9e29a7e-0a20-4601-94c5-9d60c63e48d6,4110,Boulevard Industriel,,J1L 2S6,1,NEDCO QUÉBEC,819 569-9086,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de fils et de fournitures électriques de construction,416110.0,Commerce de gros,Grossistes-marchands de fils et de fournitures électriques de construction,1162848429.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9657813,45.3955757
1900,7ef862aa-31cc-40ee-b465-e3b8e92dc61c,4128,Boulevard Industriel,,J1L 2S6,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9657813,45.3955757
1901,ffae99c6-11df-48c0-87df-3b8d323731d9,4118,Boulevard Industriel,,J1L 2S6,1,BOUTIQUE CDS,819 340-1193,False,Commerce,Biens semi-courants,Passe-temps,"Magasins d'articles de passe-temps, de jouets et de jeux",459120.0,Commerce de détail,"Détaillants d'articles de passe-temps, de jouets et de jeux",1160299062.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9657813,45.3955757
1902,2cc102fc-e0b8-4aaa-aa82-e59bc283bf3a,4100,Boulevard Josaphat-Rancourt,,J1L 3C6,1,CANADIAN TIRE,819 566-0303,False,Commerce,Biens semi-courants,Vente au détail,Grands magasins,455110.0,Commerce de détail,Grands détaillants,1144869881.0,Jacques-Cartier,True,2020-06-05,2024-08-12,-71.9658575,45.419703
1903,bada0eb5-3975-4fba-9c14-8d6592699dd8,4015,Boulevard Industriel,,J1L 2S7,1,LE DR DU MATELAS,819 566-7497,False,Commerce,Biens réfléchis,Ameublement,Matelas,449110.0,Commerce de détail,Détaillants de meubles,2272230535.0,Jacques-Cartier,False,2023-06-28,2024-07-08,-71.9646544,45.39720839999998
1906,63149096-2b02-4bce-8d3d-677b2edf4244,4055,Boulevard Industriel,,J1L 2S7,1,WESTBURNE SHERBROOKE,819 562-2660,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de fils et de fournitures électriques de construction,416110.0,Commerce de gros,Grossistes-marchands de fils et de fournitures électriques de construction,1162848429.0,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.9646544,45.3972084
1907,46edb6f5-54f0-408a-9d4c-7a670679b0f7,3535,Boulevard Industriel,,J1L 1X7,1,LES ENCADREMENTS TURGEON,819 820-7344,False,Commerce de gros/para-industriel,Biens semi-courants,Accessoires et décoration,Magasins de matériel d'encadrement,449123.0,Commerce de détail,Détaillants de matériel d'encadrement,3369259497.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.96468399999999,45.4053851
1908,ee9234ed-f585-4a28-9ed2-d2c20f739132,3525,Boulevard Industriel,,J1L 1X7,1,MOBILIER NOR-SUD,819 563-1255,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Entreposage et emmagasinage général,493110.0,Transport et entreposage,Entreposage et emmagasinage général,1146356168.0,Jacques-Cartier,False,2023-06-26,2024-08-14,-71.96468399999999,45.4053851
1909,fa27cd31-eb5e-4942-bdee-a2063a6e0dcb,3451,Boulevard Industriel,,J1L 1X7,1,ADEPT SPORTWEAR,819 571-2723,False,Commerce de gros/para-industriel,Fabrication,Imprimerie,Sérigraphie commerciale,323113.0,Fabrication,Sérigraphie commerciale,1174894635.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9643657,45.406596400000005
1910,a0763c67-0d8b-4c2b-893f-f1e57fea5e3e,3471,Boulevard Industriel,,J1L 1X7,"1,2",CARTES SPORTIVES EXTRÊMES INC.,1 866 552-2737,False,Commerce de gros/para-industriel,Fabrication,Imprimerie,Autres activités d'impression,323119.0,Fabrication,Autres activités d'impression,1161587457.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9643657,45.406596400000005
1911,f6bae6be-147d-4c18-97e4-29c7cf329296,3447,Boulevard Industriel,,J1L 1X7,1,BLANK ACTIVEWEAR,819 574-4320,False,Commerce de gros/para-industriel,Fabrication,Imprimerie,Sérigraphie commerciale,323113.0,Fabrication,Sérigraphie commerciale,1170119318.0,Jacques-Cartier,False,2022-09-15,2024-08-14,-71.9643657,45.406596400000005
1912,78573d15-d5a8-4c3d-b3d9-18bf92826f92,3463,Boulevard Industriel,,J1L 1X7,1,AUDIOVISUEL COLLINS,819 569-8811,False,Commerce de gros/para-industriel,Services aux consommateurs,Location,Location d'appareils électroniques domestiques et d'appareils ménagers,532210.0,Services immobiliers et services de location et de location à bail,Location d'appareils électroniques domestiques et d'appareils ménagers,1147901590.0,Jacques-Cartier,False,2020-09-14,2024-08-14,-71.9643657,45.406596400000005
1913,32bb43c9-733f-49e5-ac44-c04c7a74b999,3775,Boulevard Industriel,,J1L 1X8,"1,2",DONLOX (1993) INC.,819 563-5010,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands d'articles de quincaillerie,416330.0,Commerce de gros,Grossistes-marchands d'articles de quincaillerie,1145700853.0,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.96396109999999,45.40121430000001
1914,693c1de0-b501-4eb9-8f13-241cd5b739f0,3815,Boulevard Industriel,,J1L 2S7,1,BELL EXPERTECH,,False,Commerce de gros/para-industriel,Services d'affaires,"Industrie de l'information, des arts et de la culture",Télécommunications par fil et sans fil (sauf par satellite),517310.0,Industrie de l'information et industrie culturelle,Télécommunications par fil et sans fil (sauf par satellite),,Jacques-Cartier,False,2020-09-14,2024-07-08,-71.96369229999999,45.4004674
1915,9c4946be-bd1d-41cf-97e8-6ae95f445af3,4020,Boulevard Industriel,,J1L 2T8,"1,2",SHERLENN INC.,819 569-9191,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",1175449496.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9632039,45.3969962
1916,51da06b5-e84c-41ef-b2dc-252c6eb98ea8,3926,Boulevard Industriel,,J1L 2T8,"1,2",SOLMATECH,819 416-0151,False,Commerce de gros/para-industriel,Autres,Recherche et développement,Laboratoires d'essai,541380.0,"Services professionnels, scientifiques et techniques",Laboratoires d'essai,1145544798.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9624698,45.3987823
1917,b686f69e-0b46-46bd-91da-bda7dfaf0e24,3920,Boulevard Industriel,,J1L 2T8,1,SERVICES PROJEXXIUM INC.,819 200-3386,False,Commerce de gros/para-industriel,Services professionnels,"Architecture, génie et services connexes",Services de génie,541330.0,"Services professionnels, scientifiques et techniques",Services de génie,1172660772.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9624698,45.3987823
1918,e4b7d7fe-517c-42a7-9be3-c17a80cf258a,3938,Boulevard Industriel,,J1L 2T8,1,DISTRIBUTION FRANCE CROTEAU,1 800-833-2333,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands d'articles de toilette, de cosmétiques et d'articles divers",414520.0,Commerce de gros,"Grossistes-marchands d'articles de toilette, de cosmétiques et d'articles divers",1163212666.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9624698,45.3987823
1919,358b1ae9-bbcb-4c09-950b-dd83b8910717,3932,Boulevard Industriel,,J1L 2T8,"1,2",NEOPOS SHERBROOKE INC.,819 823-9685,False,Commerce de gros/para-industriel,Services professionnels,Conception de systèmes informatiques et services connexes,Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),541514.0,"Services professionnels, scientifiques et techniques",Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),1161006953.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9624698,45.3987823
1920,9f0deaf7-57eb-43fd-8195-afebe0dc7c95,3924,Rue Lesage,,J1L 0B6,1,WAJAX,819 565-9933,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",417230.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures industriels",3363000954.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9619818,45.3996979
1921,c6114811-3ade-47af-8c30-7dff174bae8e,3880,Rue Lesage,,J1L 0B6,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9619818,45.3996979
1922,a64b7450-cb38-4f61-926a-70c9f2b08c32,3870,Boulevard Industriel,,J1L 2V1,1,LENNOX FURNITURE,1 877 312-1724,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,417910.0,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,1173742470.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9619818,45.3996979
1923,79fdc22a-190a-4609-89d9-feb0a269d5db,3900,Rue Lesage,,J1L 0B6,1,BELL SOLUTIONS TECHNIQUES,819 569-9337,False,Commerce de gros/para-industriel,Construction,Construction,Construction de lignes de transmission d'énergie électrique et de télécommunication et structures connexes,237130.0,Construction,Construction de lignes de transmission d'énergie électrique et de télécommunication et structures connexes,1148833552.0,Jacques-Cartier,False,2020-09-14,2024-07-05,-71.9619818,45.3996979
